,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant
TAP1,1256.7972761288322,0.9134079453968088,0.173535705028221,5.263515915922127,1.413262668818281e-07,1.5381008712305624e-05,True
PSEN1,1272.5108247110122,0.3283713060842501,0.06242992499294617,5.259838228563499,1.4418219123497638e-07,1.5573844806629103e-05,True
RAI14,2305.8887344330747,1.1105223871315968,0.21181978961723835,5.24276975790755,1.5818387946316502e-07,1.6958728450506183e-05,True
ANXA13,206.60288225623714,-1.9066120908421997,0.3638384969493807,-5.240270358492214,1.603415092645596e-07,1.7062712015516025e-05,True
HK2,805.8629965846363,1.0076083023711004,0.192853144093201,5.224743973498037,1.743962445111205e-07,1.8421885651814387e-05,True
FAM149A,94.74184406625557,-0.7374110604942163,0.14119250755076496,-5.222735067787393,1.7629953930644398e-07,1.848700132610492e-05,True
AMMECR1L,602.8696739486883,0.5677685878142243,0.10875492455286284,5.220624170800168,1.7832109635015352e-07,1.85634845664225e-05,True
MIOS,342.8911221493864,0.45403642452549303,0.08712686865194548,5.211210176039705,1.876127577838153e-07,1.9390250923181947e-05,True
TNFRSF9,42.42898295059161,1.838989020198441,0.3533356717800076,5.204651460561913,1.9436104747885016e-07,1.994422005772258e-05,True
LARS,2150.6953721240766,0.5431926159516846,0.10459574192573558,5.193257449594448,2.066461106823088e-07,2.095757184226942e-05,True
SEMA7A,1397.814381224183,1.1294371981186433,0.21750059227188,5.1928005635351315,2.071540583044868e-07,2.095757184226942e-05,True
C1QTNF1,707.4435062968594,1.3682184792815852,0.264135677324509,5.179983609713707,2.2190539705594852e-07,2.2292957581159138e-05,True
OLR1,21.800524980458786,1.9120421086511499,0.36946583141760675,5.175152736898074,2.2772461200230706e-07,2.2718692889063493e-05,True
STAT5A,94.7989066220009,1.0558876665508645,0.20411542430490648,5.172993026600408,2.3037361465658375e-07,2.2824464470044705e-05,True
CFLAR,2408.270559889691,0.7232673908010544,0.13991040344007624,5.169504004116681,2.347161061690168e-07,2.3095421789206133e-05,True
BCL11B,62.33089266844305,-0.8566857119086757,0.16624547717441462,-5.1531369542757135,2.561647404862072e-07,2.487100341790606e-05,True
CYLD,439.24988382897703,0.7652324309204382,0.14849961004753717,5.15309387462684,2.5622361867256697e-07,2.487100341790606e-05,True
IL7R,27.35197579918168,1.1670633233605392,0.2266466016956111,5.149264602378279,2.6150974547543254e-07,2.5213751701342713e-05,True
LIPH,1092.373276611595,0.5816697827876702,0.11314204339638802,5.141057783001289,2.731960111626395e-07,2.6164892642416525e-05,True
