Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,negative regulation of cell motility (GO:2000146),5/114,0.0224735908821768,0.090825911337295,0,0,3.2592075521872093,12.370043268703917,IFITM1;SERPINE1;CYP1B1;STC1;CX3CL1
KEGG_2021_Human,One carbon pool by folate,2/20,0.0316406074339888,0.0916344864646689,0,0,7.845878136200717,27.09428032338758,MTHFD2;ALDH1L2
GO_Biological_Process_2021,regulation of neuroblast proliferation (GO:1902692),2/17,0.0232797668269534,0.0924866797539406,0,0,9.416487455197132,35.4075999641093,CX3CL1;VEGFA
GO_Biological_Process_2021,positive regulation of smooth muscle cell migration (GO:0014911),2/17,0.0232797668269534,0.0924866797539406,0,0,9.416487455197132,35.4075999641093,CCL5;PDGFB
GO_Biological_Process_2021,epithelial cell morphogenesis (GO:0003382),2/17,0.0232797668269534,0.0924866797539406,0,0,9.416487455197132,35.4075999641093,COL22A1;STC1
GO_Biological_Process_2021,regulation of osteoblast proliferation (GO:0033688),2/17,0.0232797668269534,0.0924866797539406,0,0,9.416487455197132,35.4075999641093,GREM1;BMP2
GO_Biological_Process_2021,muscle tissue morphogenesis (GO:0060415),2/17,0.0232797668269534,0.0924866797539406,0,0,9.416487455197132,35.4075999641093,BMP2;ANKRD1
GO_Biological_Process_2021,negative regulation of viral entry into host cell (GO:0046597),2/17,0.0232797668269534,0.0924866797539406,0,0,9.416487455197132,35.4075999641093,IFITM1;PTX3
GO_Biological_Process_2021,negative regulation of developmental process (GO:0051093),4/77,0.0231961889334769,0.0924866797539406,0,0,3.886256861678453,14.626966432865588,GREM1;BMP2;LOXL2;NKX3-1
GO_Biological_Process_2021,response to purine-containing compound (GO:0014074),2/17,0.0232797668269534,0.0924866797539406,0,0,9.416487455197132,35.4075999641093,STAT1;DUOX2
GO_Biological_Process_2021,cell surface receptor signaling pathway involved in heart development (GO:0061311),2/17,0.0232797668269534,0.0924866797539406,0,0,9.416487455197132,35.4075999641093,BMP2;SNAI2
GO_Biological_Process_2021,regulation of cell killing (GO:0031341),2/17,0.0232797668269534,0.0924866797539406,0,0,9.416487455197132,35.4075999641093,IL11;ICAM1
GO_Biological_Process_2021,positive regulation of cell-matrix adhesion (GO:0001954),3/44,0.0237903511769277,0.0943549521254423,0,0,5.179329706966135,19.362795627108014,FUT1;CX3CL1;VEGFA
GO_Biological_Process_2021,regulation of protein-containing complex assembly (GO:0043254),5/116,0.0240125648558805,0.0950751298862274,0,0,3.200156678417548,11.933954041617977,ABCA1;MMP1;TNF;TRABD2B;VEGFA
GO_Biological_Process_2021,protein modification process (GO:0036211),4/78,0.0241883896177533,0.0956095130161197,0,0,3.833544736071812,14.268003176583232,LOX;PLAT;UBE2L6;LOXL2
GO_Biological_Process_2021,endothelial cell proliferation (GO:0001935),2/18,0.0259503696590901,0.0992220016376977,0,0,8.827508960573477,32.23426181422417,BMPER;LOXL2
GO_Biological_Process_2021,release of cytochrome c from mitochondria (GO:0001836),2/18,0.0259503696590901,0.0992220016376977,0,0,8.827508960573477,32.23426181422417,IFI6;SOD2
GO_Biological_Process_2021,regulation of adaptive immune response (GO:0002819),2/18,0.0259503696590901,0.0992220016376977,0,0,8.827508960573477,32.23426181422417,IRF1;IRF7
GO_Biological_Process_2021,positive regulation of extracellular matrix organization (GO:1903055),2/18,0.0259503696590901,0.0992220016376977,0,0,8.827508960573477,32.23426181422417,BMP2;IL6
GO_Biological_Process_2021,regulation of oxidative stress-induced intrinsic apoptotic signaling pathway (GO:1902175),2/18,0.0259503696590901,0.0992220016376977,0,0,8.827508960573477,32.23426181422417,VNN1;SOD2
GO_Biological_Process_2021,carbohydrate derivative transport (GO:1901264),2/18,0.0259503696590901,0.0992220016376977,0,0,8.827508960573477,32.23426181422417,VLDLR;SLC15A3
GO_Biological_Process_2021,cell migration involved in sprouting angiogenesis (GO:0002042),2/18,0.0259503696590901,0.0992220016376977,0,0,8.827508960573477,32.23426181422417,GREM1;VEGFA
GO_Biological_Process_2021,interleukin-6-mediated signaling pathway (GO:0070102),2/18,0.0259503696590901,0.0992220016376977,0,0,8.827508960573477,32.23426181422417,IL6;STAT1
GO_Biological_Process_2021,regulation of insulin receptor signaling pathway (GO:0046626),3/45,0.025231504833187,0.0992220016376977,0,0,5.055755395683454,18.603470371292158,PTPRE;IL1B;GRB10
GO_Biological_Process_2021,positive regulation of glial cell differentiation (GO:0045687),2/18,0.0259503696590901,0.0992220016376977,0,0,8.827508960573477,32.23426181422417,BMP2;TNFRSF1B
GO_Biological_Process_2021,positive regulation of cartilage development (GO:0061036),2/18,0.0259503696590901,0.0992220016376977,0,0,8.827508960573477,32.23426181422417,BMP2;LOXL2
GO_Biological_Process_2021,positive chemotaxis (GO:0050918),2/18,0.0259503696590901,0.0992220016376977,0,0,8.827508960573477,32.23426181422417,CX3CL1;VEGFA
GO_Biological_Process_2021,negative regulation of lipid catabolic process (GO:0050995),2/18,0.0259503696590901,0.0992220016376977,0,0,8.827508960573477,32.23426181422417,IL1B;TNF
GO_Biological_Process_2021,mitochondrial fission (GO:0000266),2/18,0.0259503696590901,0.0992220016376977,0,0,8.827508960573477,32.23426181422417,MX2;MX1
GO_Biological_Process_2021,negative regulation of response to external stimulus (GO:0032102),5/118,0.0256179163346567,0.0992220016376977,0,0,3.143196101064512,11.518126805646784,TNFAIP6;IFI16;SERPINE1;NLRP3;TNFAIP3
GO_Biological_Process_2021,regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903798),2/18,0.0259503696590901,0.0992220016376977,0,0,8.827508960573477,32.23426181422417,IL6;TNF
GO_Biological_Process_2021,regulation of B cell differentiation (GO:0045577),2/18,0.0259503696590901,0.0992220016376977,0,0,8.827508960573477,32.23426181422417,INHBA;IKZF3
GO_Biological_Process_2021,positive regulation of chemotaxis (GO:0050921),3/45,0.025231504833187,0.0992220016376977,0,0,5.055755395683454,18.603470371292158,IL6;PDGFB;VEGFA
GO_Biological_Process_2021,regulation of pri-miRNA transcription by RNA polymerase II (GO:1902893),3/45,0.025231504833187,0.0992220016376977,0,0,5.055755395683454,18.603470371292158,PDGFB;ETS1;TNF
GO_Biological_Process_2021,neuron maturation (GO:0042551),2/18,0.0259503696590901,0.0992220016376977,0,0,8.827508960573477,32.23426181422417,C3;CX3CL1
KEGG_2021_Human,Ovarian steroidogenesis,3/51,0.0348410396317445,0.0996096389471672,0,0,4.422437050359712,14.84594112855729,PLA2G4C;CYP1A1;CYP1B1
GO_Biological_Process_2021,negative regulation of cellular response to growth factor stimulus (GO:0090288),4/80,0.0262489309114207,0.1001998341480008,0,0,3.732281968459054,13.585991628870618,GREM1;BMP2;BMPER;NEDD4
KEGG_2021_Human,ECM-receptor interaction,4/88,0.0355205918671712,0.1002669871693568,0,0,3.375451263537906,11.26605026243802,COL4A1;ITGB3;ITGA2;LAMC2
GO_Biological_Process_2021,positive regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043280),5/119,0.0264457462242099,0.1007867201378686,0,0,3.115465293668955,11.317426019399749,NLRP3;NLRP1;TNF;XDH;NKX3-1
GO_Biological_Process_2021,positive regulation of response to stimulus (GO:0048584),3/46,0.0267186780700126,0.1014962770841389,0,0,4.937928726786013,17.8871155161692,IFIH1;DDX58;NKX3-1
GO_Biological_Process_2021,alpha-amino acid metabolic process (GO:1901605),3/46,0.0267186780700126,0.1014962770841389,0,0,4.937928726786013,17.8871155161692,CBS;ASNS;KMO
GO_Biological_Process_2021,"negative regulation of transcription, DNA-templated (GO:0045892)",21/948,0.0269404910261208,0.1021730129677839,0,0,1.6373412994772218,5.9175559299640845,CSF2;GADD45A;STAT1;PDGFB;PRDM1;PARP9;TNF;RUNX2;EREG;VEGFA;LOXL2;ETV7;ZEB2;BMP2;CUX2;IFI16;IRF1;IRF7;SNAI2;L3MBTL4;NKX3-1
GO_Biological_Process_2021,activation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0006919),4/81,0.0273174988344015,0.1034351897613262,0,0,3.6836232359698062,13.261882775873122,NLRP1;TNF;XDH;NKX3-1
GO_Biological_Process_2021,transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169),11/404,0.0282456177597421,0.1049115291380343,0,0,2.003449250777495,7.145936760105096,FGF19;ITGB3;PDGFB;GRB10;NEDD9;PLAT;FYN;ADRB2;MMP9;VAV1;VEGFA
GO_Biological_Process_2021,regulation of DNA binding (GO:0051101),3/47,0.0282517891527189,0.1049115291380343,0,0,4.825457815565729,17.210470561236054,NFKBIA;IFI16;MMP9
GO_Biological_Process_2021,regulation of protein localization to nucleus (GO:1900180),3/47,0.0282517891527189,0.1049115291380343,0,0,4.825457815565729,17.210470561236054,DTX3L;LIF;PARP9
GO_Biological_Process_2021,epithelial to mesenchymal transition (GO:0001837),3/47,0.0282517891527189,0.1049115291380343,0,0,4.825457815565729,17.210470561236054,BMP2;SNAI2;LOXL2
GO_Biological_Process_2021,positive regulation of monocyte chemotaxis (GO:0090026),2/19,0.0287385855459316,0.1049115291380343,0,0,8.307822053552604,29.48873579842936,CCL5;SERPINE1
GO_Biological_Process_2021,positive regulation of oxidoreductase activity (GO:0051353),2/19,0.0287385855459316,0.1049115291380343,0,0,8.307822053552604,29.48873579842936,PDP1;TNF
GO_Biological_Process_2021,regulation of vascular endothelial growth factor signaling pathway (GO:1900746),2/19,0.0287385855459316,0.1049115291380343,0,0,8.307822053552604,29.48873579842936,CCBE1;XDH
GO_Biological_Process_2021,epoxygenase P450 pathway (GO:0019373),2/19,0.0287385855459316,0.1049115291380343,0,0,8.307822053552604,29.48873579842936,CYP1A1;CYP1B1
GO_Biological_Process_2021,interleukin-7-mediated signaling pathway (GO:0038111),2/19,0.0287385855459316,0.1049115291380343,0,0,8.307822053552604,29.48873579842936,STAT5A;IL7R
GO_Biological_Process_2021,regulation of RIG-I signaling pathway (GO:0039535),2/19,0.0287385855459316,0.1049115291380343,0,0,8.307822053552604,29.48873579842936,DDX60;BIRC3
GO_Biological_Process_2021,folic acid metabolic process (GO:0046655),2/19,0.0287385855459316,0.1049115291380343,0,0,8.307822053552604,29.48873579842936,MTHFD2;ALDH1L2
GO_Biological_Process_2021,regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079),4/82,0.0284117342509476,0.1049115291380343,0,0,3.636212163287976,12.94838076166936,HERC5;MYOCD;GADD45A;PDGFB
GO_Biological_Process_2021,positive regulation of pathway-restricted SMAD protein phosphorylation (GO:0010862),3/47,0.0282517891527189,0.1049115291380343,0,0,4.825457815565729,17.210470561236054,BMP2;INHBA;INHBE
GO_Biological_Process_2021,positive regulation of macrophage migration (GO:1905523),2/19,0.0287385855459316,0.1049115291380343,0,0,8.307822053552604,29.48873579842936,CCL5;CX3CL1
GO_Biological_Process_2021,negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway (GO:1902176),2/19,0.0287385855459316,0.1049115291380343,0,0,8.307822053552604,29.48873579842936,VNN1;SOD2
GO_Biological_Process_2021,striated muscle cell differentiation (GO:0051146),2/19,0.0287385855459316,0.1049115291380343,0,0,8.307822053552604,29.48873579842936,MYOCD;BMP2
GO_Biological_Process_2021,regulation of glucose transmembrane transport (GO:0010827),2/19,0.0287385855459316,0.1049115291380343,0,0,8.307822053552604,29.48873579842936,C3;IL1B
GO_Biological_Process_2021,regulation of insulin-like growth factor receptor signaling pathway (GO:0043567),2/19,0.0287385855459316,0.1049115291380343,0,0,8.307822053552604,29.48873579842936,BMP2;NKX3-1
GO_Biological_Process_2021,regulation of peptidyl-serine phosphorylation of STAT protein (GO:0033139),2/19,0.0287385855459316,0.1049115291380343,0,0,8.307822053552604,29.48873579842936,GADD45A;LIF
GO_Biological_Process_2021,regulation of T cell activation (GO:0050863),3/47,0.0282517891527189,0.1049115291380343,0,0,4.825457815565729,17.210470561236054,CCL5;CCL2;TNFRSF1B
GO_Biological_Process_2021,regulation of bicellular tight junction assembly (GO:2000810),2/19,0.0287385855459316,0.1049115291380343,0,0,8.307822053552604,29.48873579842936,SNAI2;TNF
GO_Biological_Process_2021,aspartate family amino acid catabolic process (GO:0009068),2/19,0.0287385855459316,0.1049115291380343,0,0,8.307822053552604,29.48873579842936,PIPOX;DDO
GO_Biological_Process_2021,cellular response to interleukin-7 (GO:0098761),2/19,0.0287385855459316,0.1049115291380343,0,0,8.307822053552604,29.48873579842936,STAT5A;IL7R
KEGG_2021_Human,Hypertrophic cardiomyopathy,4/90,0.0380985977788998,0.1061998413086834,0,0,3.296616572915792,10.77195113282712,IL6;ITGB3;ITGA2;TNF
GO_Biological_Process_2021,negative regulation of tumor necrosis factor superfamily cytokine production (GO:1903556),3/48,0.0298307289137868,0.108728825012868,0,0,4.717985611510791,16.57058570917663,CD274;TNFAIP3;CX3CL1
GO_Biological_Process_2021,positive regulation of cell differentiation (GO:0045597),8/258,0.0298951126202773,0.1087410125572392,0,0,2.282080586080586,8.010240396911879,IFITM1;BMP2;IL6;CSF2;IL1B;NRCAM;RUNX2;LOXL2
GO_Biological_Process_2021,positive regulation of epithelial cell proliferation (GO:0050679),5/123,0.0299270137123342,0.1087410125572392,0,0,3.009242200933432,10.559412038682238,STAT5A;BMP2;ITGB3;PDGFB;VEGFA
KEGG_2021_Human,Prion disease,8/273,0.0396587332467888,0.1091839199263445,0,0,2.151247494643721,6.943031027179345,IL1A;IL6;IL1B;CCL5;NDUFA4L2;FYN;TNF;CREB5
KEGG_2021_Human,Th1 and Th2 cell differentiation,4/92,0.0407812323930278,0.1109050588249416,0,0,3.221365277321956,10.30686545617659,STAT5A;NFKBIA;MAF;STAT1
GO_Biological_Process_2021,eye morphogenesis (GO:0048592),2/20,0.0316406074339888,0.1123505635744065,0,0,7.845878136200717,27.09428032338758,COL5A1;VEGFA
GO_Biological_Process_2021,folic acid-containing compound metabolic process (GO:0006760),2/20,0.0316406074339888,0.1123505635744065,0,0,7.845878136200717,27.09428032338758,MTHFD2;ALDH1L2
GO_Biological_Process_2021,regulation of smooth muscle contraction (GO:0006940),2/20,0.0316406074339888,0.1123505635744065,0,0,7.845878136200717,27.09428032338758,MYOCD;ADRB2
GO_Biological_Process_2021,mesoderm formation (GO:0001707),2/20,0.0316406074339888,0.1123505635744065,0,0,7.845878136200717,27.09428032338758,ITGA2;ITGB3
GO_Biological_Process_2021,regulation of T cell migration (GO:2000404),2/20,0.0316406074339888,0.1123505635744065,0,0,7.845878136200717,27.09428032338758,CCL20;CCL5
GO_Biological_Process_2021,negative regulation of viral life cycle (GO:1903901),2/20,0.0316406074339888,0.1123505635744065,0,0,7.845878136200717,27.09428032338758,IFITM1;PTX3
GO_Biological_Process_2021,receptor internalization (GO:0031623),3/49,0.0314553618567604,0.1123505635744065,0,0,4.615186111979981,15.964786364802723,MX2;NEDD4;MX1
GO_Biological_Process_2021,oligosaccharide metabolic process (GO:0009311),3/49,0.0314553618567604,0.1123505635744065,0,0,4.615186111979981,15.964786364802723,ST6GALNAC3;FUT1;B4GALNT2
GO_Biological_Process_2021,positive regulation of reactive oxygen species metabolic process (GO:2000379),3/49,0.0314553618567604,0.1123505635744065,0,0,4.615186111979981,15.964786364802723,GADD45A;PDGFB;XDH
GO_Biological_Process_2021,regulation of acute inflammatory response (GO:0002673),2/20,0.0316406074339888,0.1123505635744065,0,0,7.845878136200717,27.09428032338758,IL6;NLRP3
GO_Biological_Process_2021,regulation of lymphocyte differentiation (GO:0045619),2/20,0.0316406074339888,0.1123505635744065,0,0,7.845878136200717,27.09428032338758,PRDM1;IKZF3
GO_Biological_Process_2021,regulation of protein kinase A signaling (GO:0010738),2/20,0.0316406074339888,0.1123505635744065,0,0,7.845878136200717,27.09428032338758,AKAP12;ADRB2
GO_Biological_Process_2021,positive regulation of nitrogen compound metabolic process (GO:0051173),2/20,0.0316406074339888,0.1123505635744065,0,0,7.845878136200717,27.09428032338758,PDGFB;TNF
GO_Biological_Process_2021,toll-like receptor 4 signaling pathway (GO:0034142),2/20,0.0316406074339888,0.1123505635744065,0,0,7.845878136200717,27.09428032338758,OAS1;TNIP3
GO_Biological_Process_2021,mesoderm development (GO:0007498),2/20,0.0316406074339888,0.1123505635744065,0,0,7.845878136200717,27.09428032338758,IKZF3;VEGFA
GO_Biological_Process_2021,platelet degranulation (GO:0002576),5/125,0.0317708490862034,0.1126421013056303,0,0,2.958786231884058,10.20546353446538,SERPINA3;ITGB3;SERPINE1;PDGFB;VEGFA
GO_Biological_Process_2021,negative regulation of defense response (GO:0031348),4/85,0.031849304017042,0.1127494272312835,0,0,3.501002807862013,12.067045539571964,TNFAIP6;IFI16;TNFAIP3;NLRP3
GO_Biological_Process_2021,cellular protein modification process (GO:0006464),22/1025,0.0323643906239138,0.1143998097582452,0,0,1.5850209987797226,5.4377260173572886,TIPARP;DUSP1;PDGFB;UBE2L6;PLAT;PARP14;PARP9;FUT1;PARP8;LOXL2;HERC5;C3;PDP1;PTPRE;IL6;BMP2;LOX;STC2;ADM2;AMTN;CCL2;FYN
GO_Biological_Process_2021,"regulation of transcription, DNA-templated (GO:0006355)",42/2244,0.0325409562854962,0.1148504339488101,0,0,1.3979569733106838,4.788360216477377,CSF2;BNC2;BNC1;PDGFB;PRDM1;IKZF3;HOXD10;ETS1;TNF;LOXL2;CUX2;IFI16;ANKRD1;NKX3-1;STAT5A;ZNF441;MYOCD;ZNF382;DTX3L;STAT1;INHBA;PARP9;SOD2;RUNX2;EREG;VEGFA;ETV7;ZEB2;IL6;BMP2;MAF;IL1B;IRF1;MAFF;KLF9;CREBRF;IRF7;SNAI2;NCOA7;L3MBTL4;IRF9;CREB5
GO_Biological_Process_2021,negative regulation of transcription by RNA polymerase II (GO:0000122),16/684,0.032852056275973,0.1157738127797845,0,0,1.721929725454751,5.881665859194636,GADD45A;STAT1;PDGFB;PRDM1;PARP9;TNF;VEGFA;LOXL2;ETV7;ZEB2;BMP2;CUX2;IFI16;NEDD4;IRF7;SNAI2
GO_Biological_Process_2021,protein polyubiquitination (GO:0000209),9/314,0.0340139575789029,0.1196882116310269,0,0,2.1061475409836063,7.120851814996642,HERC5;DTX3L;NEDD4;TRIM14;TNFAIP3;TRIM36;UBE2L6;TRAF1;HERC6
GO_Biological_Process_2021,negative regulation of ion transmembrane transporter activity (GO:0032413),2/21,0.0346527113549086,0.120845520969428,0,0,7.432559894359555,24.99108558405785,NEDD4;MMP9
GO_Biological_Process_2021,retinol metabolic process (GO:0042572),2/21,0.0346527113549086,0.120845520969428,0,0,7.432559894359555,24.99108558405785,CYP1A1;CYP1B1
GO_Biological_Process_2021,regulation of lipid catabolic process (GO:0050994),2/21,0.0346527113549086,0.120845520969428,0,0,7.432559894359555,24.99108558405785,IL1B;TNF
GO_Biological_Process_2021,positive regulation of vascular associated smooth muscle cell proliferation (GO:1904707),2/21,0.0346527113549086,0.120845520969428,0,0,7.432559894359555,24.99108558405785,PDGFB;MMP9
GO_Biological_Process_2021,positive regulation of phosphatase activity (GO:0010922),2/21,0.0346527113549086,0.120845520969428,0,0,7.432559894359555,24.99108558405785,PPP1R15A;BMP2
GO_Biological_Process_2021,negative regulation of reproductive process (GO:2000242),2/21,0.0346527113549086,0.120845520969428,0,0,7.432559894359555,24.99108558405785,DUSP1;NKX3-1
GO_Biological_Process_2021,regulation of interleukin-12 production (GO:0032655),3/51,0.0348410396317445,0.1209614729054634,0,0,4.422437050359712,14.84594112855729,IL23A;LTB;TLR2
GO_Biological_Process_2021,intrinsic apoptotic signaling pathway in response to DNA damage (GO:0008630),3/51,0.0348410396317445,0.1209614729054634,0,0,4.422437050359712,14.84594112855729,BCL2A1;IFI16;TNFRSF1B
GO_Biological_Process_2021,mesenchymal cell differentiation (GO:0048762),3/51,0.0348410396317445,0.1209614729054634,0,0,4.422437050359712,14.84594112855729,BMP2;SNAI2;LOXL2
GO_Biological_Process_2021,negative regulation of binding (GO:0051100),4/88,0.0355205918671712,0.1229822640959788,0,0,3.375451263537906,11.26605026243802,NFKBIA;IFI16;PDGFB;IFIT1
GO_Biological_Process_2021,protein deubiquitination (GO:0016579),8/267,0.0355282096277272,0.1229822640959788,0,0,2.2017622017622016,7.348223395407863,IFIH1;NFKBIA;DDX58;TNIP3;NLRP3;TNFAIP3;ADRB2;BIRC3
GO_Biological_Process_2021,negative regulation of cellular biosynthetic process (GO:0031327),3/52,0.0366016908712085,0.1261383750200707,0,0,4.331963001027749,14.32866438305221,FGF19;SNAI2;FYN
GO_Biological_Process_2021,negative regulation of BMP signaling pathway (GO:0030514),3/52,0.0366016908712085,0.1261383750200707,0,0,4.331963001027749,14.32866438305221,GREM1;BMP2;BMPER
GO_Biological_Process_2021,protein homotetramerization (GO:0051289),3/52,0.0366016908712085,0.1261383750200707,0,0,4.331963001027749,14.32866438305221,GBP5;SAMHD1;SOD2
GO_Biological_Process_2021,negative regulation of interleukin-2 production (GO:0032703),2/22,0.0377712548763402,0.1282797335422877,0,0,7.060573476702509,23.1318996740414,TNFAIP3;GBP1
GO_Biological_Process_2021,negative regulation of B cell activation (GO:0050869),2/22,0.0377712548763402,0.1282797335422877,0,0,7.060573476702509,23.1318996740414,TNFAIP3;INHBA
GO_Biological_Process_2021,negative regulation of protein dephosphorylation (GO:0035308),2/22,0.0377712548763402,0.1282797335422877,0,0,7.060573476702509,23.1318996740414,PPP1R15A;PPP4R4
GO_Biological_Process_2021,negative regulation of lymphocyte activation (GO:0051250),2/22,0.0377712548763402,0.1282797335422877,0,0,7.060573476702509,23.1318996740414,LST1;TNFAIP3
GO_Biological_Process_2021,peptidyl-threonine dephosphorylation (GO:0035970),2/22,0.0377712548763402,0.1282797335422877,0,0,7.060573476702509,23.1318996740414,PDP1;DUSP1
GO_Biological_Process_2021,positive regulation of axon extension (GO:0045773),2/22,0.0377712548763402,0.1282797335422877,0,0,7.060573476702509,23.1318996740414,SEMA7A;VEGFA
GO_Biological_Process_2021,regulation of platelet activation (GO:0010543),2/22,0.0377712548763402,0.1282797335422877,0,0,7.060573476702509,23.1318996740414,C1QTNF1;PDGFB
GO_Biological_Process_2021,positive regulation of neural precursor cell proliferation (GO:2000179),2/22,0.0377712548763402,0.1282797335422877,0,0,7.060573476702509,23.1318996740414,CX3CL1;VEGFA
GO_Biological_Process_2021,female gonad development (GO:0008585),2/22,0.0377712548763402,0.1282797335422877,0,0,7.060573476702509,23.1318996740414,INHBA;VEGFA
GO_Biological_Process_2021,microglial cell activation (GO:0001774),2/22,0.0377712548763402,0.1282797335422877,0,0,7.060573476702509,23.1318996740414,TNF;CX3CL1
GO_Biological_Process_2021,positive regulation of binding (GO:0051099),4/90,0.0380985977788998,0.1292039402936605,0,0,3.296616572915792,10.77195113282712,BMP2;DTX3L;PARP9;MMP9
GO_Biological_Process_2021,cardiac muscle tissue development (GO:0048738),3/53,0.0384072500273163,0.1298742269709831,0,0,4.245107913669065,13.836967596669922,MYOCD;BMP2;ANKRD1
GO_Biological_Process_2021,heart morphogenesis (GO:0003007),3/53,0.0384072500273163,0.1298742269709831,0,0,4.245107913669065,13.836967596669922,BMP2;ANKRD1;VEGFA
GO_Biological_Process_2021,neutrophil degranulation (GO:0043312),12/481,0.0400206499313714,0.1351346621059296,0,0,1.8309937302335904,5.892796450269605,C3;SERPINA3;VNN1;TNFAIP6;PLAU;PTAFR;OLR1;PTX3;AMPD3;TNFRSF1B;MMP9;TLR2
GO_Biological_Process_2021,negative regulation of immune response (GO:0050777),6/178,0.0401649213640513,0.1354263919191357,0,0,2.4795348837209303,7.971112704810129,IL6;IFI16;ADM2;TNFAIP3;FYN;ADRB2
GO_Biological_Process_2021,positive regulation of receptor internalization (GO:0002092),2/23,0.0409926755397273,0.1358680747350736,0,0,6.724014336917563,21.478935035451904,GREM1;VEGFA
GO_Biological_Process_2021,positive regulation of morphogenesis of an epithelium (GO:1905332),2/23,0.0409926755397273,0.1358680747350736,0,0,6.724014336917563,21.478935035451904,LIF;VEGFA
GO_Biological_Process_2021,positive regulation of interleukin-17 production (GO:0032740),2/23,0.0409926755397273,0.1358680747350736,0,0,6.724014336917563,21.478935035451904,IL6;IL23A
GO_Biological_Process_2021,positive regulation of histone acetylation (GO:0035066),2/23,0.0409926755397273,0.1358680747350736,0,0,6.724014336917563,21.478935035451904,IL1B;LIF
GO_Biological_Process_2021,positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090100),4/92,0.0407812323930278,0.1358680747350736,0,0,3.221365277321956,10.30686545617659,ZEB2;BMP2;INHBA;INHBE
GO_Biological_Process_2021,regulation of calcium ion transmembrane transport (GO:1903169),2/23,0.0409926755397273,0.1358680747350736,0,0,6.724014336917563,21.478935035451904,ANK2;FYN
GO_Biological_Process_2021,positive regulation of epithelial cell apoptotic process (GO:1904037),2/23,0.0409926755397273,0.1358680747350736,0,0,6.724014336917563,21.478935035451904,IL6;CCL2
GO_Biological_Process_2021,oligosaccharide biosynthetic process (GO:0009312),2/23,0.0409926755397273,0.1358680747350736,0,0,6.724014336917563,21.478935035451904,FUT1;B4GALNT2
GO_Biological_Process_2021,blood vessel endothelial cell migration (GO:0043534),2/23,0.0409926755397273,0.1358680747350736,0,0,6.724014336917563,21.478935035451904,GREM1;VEGFA
GO_Biological_Process_2021,regulation of mononuclear cell migration (GO:0071675),2/23,0.0409926755397273,0.1358680747350736,0,0,6.724014336917563,21.478935035451904,CCL5;TNF
GO_Biological_Process_2021,response to copper ion (GO:0046688),2/23,0.0409926755397273,0.1358680747350736,0,0,6.724014336917563,21.478935035451904,IL1A;LOXL2
GO_Biological_Process_2021,hyaluronan metabolic process (GO:0030212),2/23,0.0409926755397273,0.1358680747350736,0,0,6.724014336917563,21.478935035451904,IL1B;HAS2
GO_Biological_Process_2021,protein modification by small protein removal (GO:0070646),8/276,0.0418395647957651,0.1384788990411464,0,0,2.12683833579356,6.750399547052491,IFIH1;NFKBIA;DDX58;TNIP3;NLRP3;TNFAIP3;ADRB2;BIRC3
GO_Biological_Process_2021,regulation of epithelial cell proliferation (GO:0050678),4/93,0.0421618087522396,0.1391691036503087,0,0,3.1850079097878554,10.084500952631048,FUT1;NKX3-1;EREG;VEGFA
GO_Biological_Process_2021,neutrophil activation involved in immune response (GO:0002283),12/485,0.0421670489265251,0.1391691036503087,0,0,1.8151323907353996,5.746920056693013,C3;SERPINA3;VNN1;TNFAIP6;PLAU;PTAFR;OLR1;PTX3;AMPD3;TNFRSF1B;MMP9;TLR2
GO_Biological_Process_2021,organic substance transport (GO:0071702),5/136,0.0431704814287689,0.1422801782300271,0,0,2.708817347051665,8.512724837389596,ARRDC4;ABCA1;ABCA10;ARRDC3;TXNIP
GO_Biological_Process_2021,interleukin-1-mediated signaling pathway (GO:0070498),4/94,0.0435685537728568,0.1433901769739592,0,0,3.1494584837545125,9.86857504502466,NFKBIA;IL1A;IRAK2;IL1B
GO_Biological_Process_2021,dendritic cell differentiation (GO:0097028),2/24,0.0443134893314436,0.1438190915888741,0,0,6.418051482567612,20.001640186039108,CSF2;DHRS2
GO_Biological_Process_2021,regulation of cytokine production involved in immune response (GO:0002718),2/24,0.0443134893314436,0.1438190915888741,0,0,6.418051482567612,20.001640186039108,TNFRSF1B;TNF
GO_Biological_Process_2021,regulation of keratinocyte proliferation (GO:0010837),2/24,0.0443134893314436,0.1438190915888741,0,0,6.418051482567612,20.001640186039108,KLF9;SNAI2
GO_Biological_Process_2021,regulation of monooxygenase activity (GO:0032768),2/24,0.0443134893314436,0.1438190915888741,0,0,6.418051482567612,20.001640186039108,IL1A;IL1B
GO_Biological_Process_2021,extracellular matrix assembly (GO:0085029),2/24,0.0443134893314436,0.1438190915888741,0,0,6.418051482567612,20.001640186039108,PXDN;HAS2
