Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,RIG-I-like receptor signaling pathway,0.6506373353832591,2.1357206778204967,0.0,0.0,0.0,20/51,12.38%,TRIM25;DDX58;NFKB1;IFIH1;CYLD;TANK;TRAF6;NFKBIA;TNF;IRF7;CASP10;IL12A;AZI2;TRAF3;RIPK1;ATG12;DHX58;TBK1;MAPK8;CASP8
prerank,Kaposi sarcoma-associated herpesvirus infection,0.5267372360173941,2.067491611988043,0.0,6.039354405339282e-05,0.001,64/159,20.56%,CXCL3;IL6;ICAM1;NFKB1;STAT1;IFNAR2;CSF2;PDGFB;VEGFA;IRF9;MYC;IFNGR1;EIF2AK2;LYN;STAT2;PIK3CD;AKT3;FGF2;JAK1;NFKBIA;IRF7;CREB1;JAK2;RCAN1;ITPR3;PLCG2;JUN;CDKN1A;TRAF3;C3;ITPR2;ITPR1;GABARAPL1;TCF7L2;CDK6;ZFP36;CXCL2;TBK1;MAPK8;STAT3;CASP8;GSK3B;IFNAR1;KRAS;ATG14;HLA-F;PPP3CC;IL6ST;CXCL1;IKBKE;TLR3;CREBBP;GNB4;HIF1A;TICAM1;MAP2K4;PIK3C3;PPP3R1;PIK3CA;EP300;E2F3;HLA-B;PIK3CB;GNB1
prerank,C-type lectin receptor signaling pathway,0.5647964589630691,2.064116809286122,0.0,0.00011503532200646252,0.002,28/93,12.38%,IL6;NFKB1;STAT1;IL1B;IRF9;CYLD;STAT2;IRF1;PIK3CD;AKT3;MRAS;IL23A;NFKBIA;RELB;TNF;NLRP3;IL12A;ITPR3;CASP1;PLCG2;JUN;RRAS2;ITPR2;ITPR1;NFKB2;CBLB;MAPK8;CASP8
prerank,Th17 cell differentiation,0.5752296046639227,2.0578109046158795,0.0,0.00016470966560016222,0.003,26/83,17.37%,IL6;NFKB1;STAT1;IL1B;STAT5A;IFNGR1;SMAD3;IL1RAP;IFNGR2;RUNX1;JAK1;IL23A;IL4R;NFKBIA;JAK2;JUN;GATA3;MAPK8;STAT3;STAT5B;HLA-DQA1;SMAD2;PPP3CC;IL6ST;SMAD4;AHR
prerank,Hematopoietic cell lineage,0.6069108911174234,2.0557758134053734,0.0,0.00021006450105527937,0.004,21/58,14.27%,IL1A;IL6;CSF2;IL1B;ITGA5;IL7R;ITGA2;ITGB3;IL11;CD55;IL4R;TNF;CSF1;ITGA3;CSF2RA;FLT3LG;CD8A;IL7;CSF3;ITGA4;HLA-DQA1
prerank,Malaria,0.688281546033989,2.038488823334412,0.0,0.0003019677202669641,0.006,11/29,7.96%,IL6;ICAM1;IL1B;TLR2;MET;TGFB2;CCL2;TNF;IL12A;LRP1;MYD88
prerank,Transcriptional misregulation in cancer,0.5221967805126364,2.0335074793018713,0.0,0.0002898890114562855,0.006,53/138,17.24%,BCL2A1;BIRC3;IL6;NFKB1;PLAT;CSF2;PLAU;MYC;RUNX2;GADD45A;ETV7;TRAF1;FOXO1;NFKBIZ;ATF1;MET;RUNX1;MAF;BCL2L1;ZEB1;PTK2;ELK4;CCNT2;ETV6;REL;MMP9;CDKN1A;KDM6A;DDX5;PML;KLF3;CCNT1;SUPT3H;POLK;MLLT3;MITF;SS18;SMAD1;BIRC2;MEIS1;BMP2K;LMO2;HMGA2;TMPRSS2;SIX4;IGF1R;FUT8;JMJD1C;SIX1;FLI1;PDGFA;SIN3A;ARNT2
prerank,Lipid and atherosclerosis,0.5058659322293343,2.032770113433446,0.0,0.0002787394340925822,0.006,54/178,14.07%,SOD2;CXCL3;IL6;ICAM1;NFKB1;IL1B;TLR2;OLR1;CASP7;VLDLR;CCL5;LYN;TNFRSF10B;ABCA1;TNFRSF10A;CYP1A1;PIK3CD;AKT3;TANK;VAV1;TAB2;CCL2;TRAF6;ERN1;NFKBIA;TNF;BCL2L1;NCF2;IRF7;MMP1;NLRP3;PTK2;JAK2;IL12A;CASP1;MMP9;JUN;MYD88;ATF4;TRAF3;MAP3K5;NFE2L2;ITPR1;POU2F3;HSPA1L;CXCL2;TBK1;MAPK8;STAT3;CASP8;GSK3B;KRAS;PLCB1;CYP2J2
prerank,ECM-receptor interaction,0.5797199361080401,2.0276646553777242,0.0,0.00026841575134841256,0.006,27/66,16.55%,SDC4;LAMC2;ITGA5;ITGA2;ITGB3;COL4A1;ITGAV;LAMB1;ITGA3;LAMA4;CD47;COL4A2;COL4A6;LAMC1;LAMA2;ITGB1;FRAS1;THBS1;ITGB8;LAMB3;ITGA4;LAMA3;COL4A4;SV2B;FN1;COL6A2;ITGA1
prerank,Hepatitis C,0.516233667993839,2.006530006002911,0.0,0.00043138245752423444,0.01,40/131,13.94%,MX1;DDX58;NFKB1;STAT1;CLDN1;IFNAR2;OAS3;IRF9;MYC;CFLAR;EIF2AK2;OAS1;STAT2;OCLN;PIK3CD;AKT3;IFIT1;MX2;JAK1;TRAF6;PPP2R2A;NFKBIA;TNF;IRF7;EGFR;BRAF;CDKN1A;TRAF3;RIPK1;SOS2;CDK6;TBK1;STAT3;CASP8;CLDN16;GSK3B;IFNAR1;KRAS;SOS1;EIF3E
