"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002449","lymphocyte mediated immunity","15/168","205/12916",0.0731707317073171,5.62543554006969,7.6633828529521,6.97966195154344e-08,6.89185330118532e-06,4.92486843304152e-06,"C1R/C1S/CD274/ICAM1/IL1B/IL6/IL7R/IRF7/NFKBIZ/NLRP3/RAET1L/RASGRP1/TNF/TNFRSF1B/ULBP1",15
"GO:0050792","regulation of viral process","12/168","125/12916",0.096,7.38057142857143,8.22892588073189,7.81466507409433e-08,7.47521555993836e-06,5.34173487630527e-06,"APOBEC3G/CCL5/IFI16/IFIH1/IFIT1/LAMP3/MX1/OAS1/OAS3/PTX3/STAT1/TNF",12
"GO:0002443","leukocyte mediated immunity","17/168","275/12916",0.0618181818181818,4.75264069264069,7.22093496565064,1.06916315890247e-07,9.6256130276484e-06,6.87839332569452e-06,"C1R/C1S/CD274/CXCL6/ICAM1/IL1B/IL6/IL7R/IRF7/NFKBIZ/NLRP3/RAET1L/RASGRP1/TNF/TNFRSF1B/TREM1/ULBP1",17
"GO:0002758","innate immune response-activating signaling pathway","17/168","275/12916",0.0618181818181818,4.75264069264069,7.22093496565064,1.06916315890247e-07,9.6256130276484e-06,6.87839332569452e-06,"BIRC3/CD274/DDX60/GBP5/IFI16/IFIH1/IRAK2/IRF7/NFKBIZ/NLRP1/NLRP3/OAS1/OAS3/TLR2/TNF/TNFAIP3/TNIP3",17
"GO:0071347","cellular response to interleukin-1","10/168","83/12916",0.120481927710843,9.2627653471027,8.66924321546925,1.13839108534067e-07,9.95604317779369e-06,7.11451631680576e-06,"AKAP12/CCL5/GBP1/GBP3/IL1B/IL6/IRAK2/KMO/NKX3-1/NLRP3",10
"GO:0045785","positive regulation of cell adhesion","21/168","422/12916",0.0497630331753555,3.82582938388626,6.77535772707229,1.31236670642069e-07,1.11587624676492e-05,7.9739708068485e-06,"ABI3BP/CCL5/CD274/ECM2/ETS1/FUT1/IL1A/IL1B/IL6/IL7R/ITGA2/ITGB3/LIF/NFKBIZ/NLRP3/PDGFB/PODXL/RASGRP1/TNF/VEGFA/VNN1",21
"GO:0140374","antiviral innate immune response","9/168","67/12916",0.134328358208955,10.3272921108742,8.78696979770996,1.92633307467415e-07,1.55999037716992e-05,1.11475782037486e-05,"APOBEC3G/IFIH1/IFIT1/IFIT3/MX1/NLRP1/OAS1/OAS3/TNF",9
"GO:0001525","angiogenesis","22/168","471/12916",0.0467091295116773,3.591042361743,6.5760988878074,1.93661007293227e-07,1.55999037716992e-05,1.11475782037486e-05,"ADM2/BMPER/CCBE1/COL4A1/EREG/ETS1/FAP/FUT1/GREM1/IL1A/IL1B/IL6/ITGB3/NRCAM/PDGFB/SAT1/SERPINE1/STAT1/TNF/TNFAIP2/TNFAIP3/VEGFA",22
"GO:0070371","ERK1 and ERK2 cascade","16/168","254/12916",0.062992125984252,4.84289463817023,7.10076271059202,2.00068960436006e-07,1.57028484075542e-05,1.12211416946294e-05,"AKAP12/BMPER/CCL5/FGF19/GBP1/ICAM1/IL1A/IL1B/INHBA/ITGB3/LIF/PDGFB/RASGRP1/SEMA7A/TNF/VEGFA",16
"GO:0002253","activation of immune response","22/168","473/12916",0.0465116279069767,3.57585825027685,6.551953380504,2.08348022965168e-07,1.59438324574095e-05,1.13933471505689e-05,"BIRC3/C1R/C1S/CD274/DDX60/GBP1/GBP5/IFI16/IFIH1/IL1B/IRAK2/IRF7/NFKBIZ/NLRP1/NLRP3/OAS1/OAS3/THEMIS2/TLR2/TNF/TNFAIP3/TNIP3",22
"GO:0002218","activation of innate immune response","17/168","292/12916",0.0582191780821918,4.47594585779517,6.89678606605914,2.52416436765325e-07,1.85009863057323e-05,1.3220670762328e-05,"BIRC3/CD274/DDX60/GBP5/IFI16/IFIH1/IRAK2/IRF7/NFKBIZ/NLRP1/NLRP3/OAS1/OAS3/TLR2/TNF/TNFAIP3/TNIP3",17
