"","baseMean","log2FoldChange","lfcSE","pvalue","padj","significant"
"FLNB",13109.6233951409,0.809873497657256,0.181895225258454,4.31076504015805e-07,3.96358067015729e-05,TRUE
"LAP3",833.219689373181,0.720764724953177,0.161728392664743,4.39826390121532e-07,4.01996084542626e-05,TRUE
"IFIT5",349.557889745591,0.850151361482483,0.208347814990482,4.70202337848205e-07,4.23277189735869e-05,TRUE
"TMEM97",1229.92706967306,-0.72467108517691,0.159444270670353,4.71380002896995e-07,4.23277189735869e-05,TRUE
"GJB1",154.386900037077,-4.43790206073351,1.37136945718276,4.70777490906735e-07,4.23277189735869e-05,TRUE
"RASL11A",16.5029611356409,-1.35377596686007,0.304926894756443,4.74366068912875e-07,4.23482034195186e-05,TRUE
"PAGR1",624.773251290339,-0.665462544085362,0.143604746956974,4.78350529690628e-07,4.24570657999977e-05,TRUE
"RNF19B",402.981159044749,0.737300944037013,0.169064440929528,5.02666914173639e-07,4.4358910730668e-05,TRUE
"ZSWIM4",271.751028734698,0.636873200128124,0.143859818198723,5.05925318096014e-07,4.43913329106531e-05,TRUE
"TXNIP",3291.9702026912,2.67778028856602,0.66394069024135,5.22201451469072e-07,4.5559109586975e-05,TRUE
"TM4SF4",510.842250423403,-1.76819436646522,0.39995395222099,5.38879873330258e-07,4.67485901411644e-05,TRUE
"HR",445.628039323114,-0.877821679840534,0.194310567108799,5.4962654070421e-07,4.74130086096244e-05,TRUE
"KLF6",2957.90750910652,0.867493246148804,0.209038555723058,5.80440959106412e-07,4.97914576931785e-05,TRUE
"CISD3",619.977516819557,-1.08759224491246,0.134518807868369,5.91732216195717e-07,5.04780454426958e-05,TRUE
"IKZF3",167.165936559269,2.68009524115515,0.535429608165539,5.96599338180215e-07,5.05131318940509e-05,TRUE
"CXCL5",14172.2984318078,1.34594892561246,0.311034049113222,5.98722891873479e-07,5.05131318940509e-05,TRUE
"ANKS4B",30.712602583124,-1.83998221955381,0.43131303503393,6.07563763376452e-07,5.09789157740187e-05,TRUE
"C21orf58",135.937855922689,-1.00015640118971,0.224887663990246,6.17164697338362e-07,5.1224669879084e-05,TRUE
"NRCAM",1844.57727411533,1.05213139573639,0.244851757054059,6.15926875829851e-07,5.1224669879084e-05,TRUE
